Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
12.08.2022 16:35:58,System.Runtime,% Time in GC since last GC (%),Metric,4
12.08.2022 16:35:58,System.Runtime,Gen 0 Size (B),Metric,24
12.08.2022 16:35:58,System.Runtime,Gen 1 Size (B),Metric,7789936
12.08.2022 16:35:58,System.Runtime,Gen 2 Size (B),Metric,14138592
12.08.2022 16:35:58,System.Runtime,LOH Size (B),Metric,964272
12.08.2022 16:35:58,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,80856
12.08.2022 16:35:58,System.Runtime,Number of Assemblies Loaded,Metric,62
12.08.2022 16:35:58,System.Runtime,IL Bytes Jitted (B),Metric,264683
12.08.2022 16:35:58,System.Runtime,Number of Methods Jitted,Metric,4141
12.08.2022 16:35:58,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,17.51750000000004
12.08.2022 16:35:59,System.Runtime,CPU Usage (%),Metric,29
12.08.2022 16:35:59,System.Runtime,Working Set (MB),Metric,129
12.08.2022 16:35:59,System.Runtime,GC Heap Size (MB),Metric,74
12.08.2022 16:35:59,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,34
12.08.2022 16:35:59,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,13
12.08.2022 16:35:59,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,3
12.08.2022 16:35:59,System.Runtime,ThreadPool Thread Count,Metric,31
12.08.2022 16:35:59,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
12.08.2022 16:35:59,System.Runtime,ThreadPool Queue Length,Metric,0
12.08.2022 16:35:59,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,257940
12.08.2022 16:35:59,System.Runtime,Allocation Rate (B / 1 sec),Rate,379191384
12.08.2022 16:35:59,System.Runtime,Number of Active Timers,Metric,4
12.08.2022 16:35:59,System.Runtime,GC Fragmentation (%),Metric,0.9588882804958511
12.08.2022 16:35:59,System.Runtime,GC Committed Bytes (MB),Metric,75
12.08.2022 16:35:59,System.Runtime,Exception Count (Count / 1 sec),Rate,0
12.08.2022 16:35:59,System.Runtime,% Time in GC since last GC (%),Metric,11
12.08.2022 16:35:59,System.Runtime,Gen 0 Size (B),Metric,24
12.08.2022 16:35:59,System.Runtime,Gen 1 Size (B),Metric,2164256
12.08.2022 16:35:59,System.Runtime,Gen 2 Size (B),Metric,61151992
12.08.2022 16:35:59,System.Runtime,LOH Size (B),Metric,1750816
12.08.2022 16:35:59,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,80856
12.08.2022 16:35:59,System.Runtime,Number of Assemblies Loaded,Metric,62
12.08.2022 16:35:59,System.Runtime,IL Bytes Jitted (B),Metric,266049
12.08.2022 16:35:59,System.Runtime,Number of Methods Jitted,Metric,4158
12.08.2022 16:35:59,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,7.25139999999999
12.08.2022 16:36:00,System.Runtime,CPU Usage (%),Metric,30
12.08.2022 16:36:00,System.Runtime,Working Set (MB),Metric,150
12.08.2022 16:36:00,System.Runtime,GC Heap Size (MB),Metric,82
12.08.2022 16:36:00,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,35
12.08.2022 16:36:00,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,10
12.08.2022 16:36:00,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,2
12.08.2022 16:36:00,System.Runtime,ThreadPool Thread Count,Metric,31
12.08.2022 16:36:00,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
12.08.2022 16:36:00,System.Runtime,ThreadPool Queue Length,Metric,0
12.08.2022 16:36:00,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,270503
12.08.2022 16:36:00,System.Runtime,Allocation Rate (B / 1 sec),Rate,397127152
12.08.2022 16:36:00,System.Runtime,Number of Active Timers,Metric,4
12.08.2022 16:36:00,System.Runtime,GC Fragmentation (%),Metric,1.8781680392762181
12.08.2022 16:36:00,System.Runtime,GC Committed Bytes (MB),Metric,96
12.08.2022 16:36:00,System.Runtime,Exception Count (Count / 1 sec),Rate,0
12.08.2022 16:36:00,System.Runtime,% Time in GC since last GC (%),Metric,3
12.08.2022 16:36:00,System.Runtime,Gen 0 Size (B),Metric,24
12.08.2022 16:36:00,System.Runtime,Gen 1 Size (B),Metric,4328448
12.08.2022 16:36:00,System.Runtime,Gen 2 Size (B),Metric,73928160
12.08.2022 16:36:00,System.Runtime,LOH Size (B),Metric,2799448
12.08.2022 16:36:00,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,80856
12.08.2022 16:36:00,System.Runtime,Number of Assemblies Loaded,Metric,62
12.08.2022 16:36:00,System.Runtime,IL Bytes Jitted (B),Metric,266549
12.08.2022 16:36:00,System.Runtime,Number of Methods Jitted,Metric,4167
12.08.2022 16:36:00,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,2.623899999999935
12.08.2022 16:36:01,System.Runtime,CPU Usage (%),Metric,31
12.08.2022 16:36:01,System.Runtime,Working Set (MB),Metric,233
12.08.2022 16:36:01,System.Runtime,GC Heap Size (MB),Metric,165
12.08.2022 16:36:01,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,40
12.08.2022 16:36:01,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,16
12.08.2022 16:36:01,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,1
12.08.2022 16:36:01,System.Runtime,ThreadPool Thread Count,Metric,31
12.08.2022 16:36:01,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
12.08.2022 16:36:01,System.Runtime,ThreadPool Queue Length,Metric,1
12.08.2022 16:36:01,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,323281
12.08.2022 16:36:01,System.Runtime,Allocation Rate (B / 1 sec),Rate,478639720
12.08.2022 16:36:01,System.Runtime,Number of Active Timers,Metric,4
12.08.2022 16:36:01,System.Runtime,GC Fragmentation (%),Metric,1.435511677787823
12.08.2022 16:36:01,System.Runtime,GC Committed Bytes (MB),Metric,178
12.08.2022 16:36:01,System.Runtime,Exception Count (Count / 1 sec),Rate,0
12.08.2022 16:36:01,System.Runtime,% Time in GC since last GC (%),Metric,4
12.08.2022 16:36:01,System.Runtime,Gen 0 Size (B),Metric,24
12.08.2022 16:36:01,System.Runtime,Gen 1 Size (B),Metric,4323976
12.08.2022 16:36:01,System.Runtime,Gen 2 Size (B),Metric,153155520
12.08.2022 16:36:01,System.Runtime,LOH Size (B),Metric,2799448
12.08.2022 16:36:01,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,80856
12.08.2022 16:36:01,System.Runtime,Number of Assemblies Loaded,Metric,62
12.08.2022 16:36:01,System.Runtime,IL Bytes Jitted (B),Metric,267048
12.08.2022 16:36:01,System.Runtime,Number of Methods Jitted,Metric,4174
12.08.2022 16:36:01,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,2.122100000000046
12.08.2022 16:36:02,System.Runtime,CPU Usage (%),Metric,31
12.08.2022 16:36:02,System.Runtime,Working Set (MB),Metric,304
12.08.2022 16:36:02,System.Runtime,GC Heap Size (MB),Metric,241
12.08.2022 16:36:02,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,37
12.08.2022 16:36:02,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,14
12.08.2022 16:36:02,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,1
12.08.2022 16:36:02,System.Runtime,ThreadPool Thread Count,Metric,31
12.08.2022 16:36:02,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
12.08.2022 16:36:02,System.Runtime,ThreadPool Queue Length,Metric,0
12.08.2022 16:36:02,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,294930
12.08.2022 16:36:02,System.Runtime,Allocation Rate (B / 1 sec),Rate,438247312
12.08.2022 16:36:02,System.Runtime,Number of Active Timers,Metric,4
12.08.2022 16:36:02,System.Runtime,GC Fragmentation (%),Metric,1.2293703660236501
12.08.2022 16:36:02,System.Runtime,GC Committed Bytes (MB),Metric,250
12.08.2022 16:36:02,System.Runtime,Exception Count (Count / 1 sec),Rate,0
12.08.2022 16:36:02,System.Runtime,% Time in GC since last GC (%),Metric,8
12.08.2022 16:36:02,System.Runtime,Gen 0 Size (B),Metric,24
12.08.2022 16:36:02,System.Runtime,Gen 1 Size (B),Metric,1757096
12.08.2022 16:36:02,System.Runtime,Gen 2 Size (B),Metric,232594384
12.08.2022 16:36:02,System.Runtime,LOH Size (B),Metric,4896656
12.08.2022 16:36:02,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,80856
12.08.2022 16:36:02,System.Runtime,Number of Assemblies Loaded,Metric,62
12.08.2022 16:36:02,System.Runtime,IL Bytes Jitted (B),Metric,267236
12.08.2022 16:36:02,System.Runtime,Number of Methods Jitted,Metric,4175
12.08.2022 16:36:02,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0.9478000000000293
12.08.2022 16:36:03,System.Runtime,CPU Usage (%),Metric,28
12.08.2022 16:36:03,System.Runtime,Working Set (MB),Metric,363
12.08.2022 16:36:03,System.Runtime,GC Heap Size (MB),Metric,303
12.08.2022 16:36:03,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,31
12.08.2022 16:36:03,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,11
12.08.2022 16:36:03,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:36:03,System.Runtime,ThreadPool Thread Count,Metric,31
12.08.2022 16:36:03,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
12.08.2022 16:36:03,System.Runtime,ThreadPool Queue Length,Metric,0
12.08.2022 16:36:03,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,260696
12.08.2022 16:36:03,System.Runtime,Allocation Rate (B / 1 sec),Rate,379347248
12.08.2022 16:36:03,System.Runtime,Number of Active Timers,Metric,4
12.08.2022 16:36:03,System.Runtime,GC Fragmentation (%),Metric,0.9974853536737887
12.08.2022 16:36:03,System.Runtime,GC Committed Bytes (MB),Metric,310
12.08.2022 16:36:03,System.Runtime,Exception Count (Count / 1 sec),Rate,0
